x, y, 2.1G(10), 2.1G(11), 2.1G(12), 2.1G(4), 2.1G(7), 2.1G(8), 3.5G(10), 3.5G(11), 3.5G(12), 3.5G(4), 3.5G(7), 3.5G(8)
0,150,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23
0,151,-126.23,-126.23,-126.23,-120.06,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23
0,152,-126.23,-126.23,-126.23,-119.8,-126.23,-126.23,-126.23,-126.23,-126.23,-119.31,-126.23,-126.23
0,153,-126.23,-126.23,-126.23,-119.16,-126.23,-126.23,-126.23,-126.23,-126.23,-110.31,-126.23,-126.23
0,154,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-108.95,-126.23,-126.23
0,155,-126.23,-126.23,-126.23,-108.35,-126.23,-126.23,-126.23,-126.23,-126.23,-108.62,-126.23,-126.23
1,35,-126.23,-126.23,-126.23,-102.37,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23
1,36,-126.23,-126.23,-126.23,-102.07,-126.23,-126.23,-126.23,-126.23,-126.23,-102.37,-126.23,-126.23
1,37,-126.23,-126.23,-126.23,-101.88,-126.23,-126.23,-126.23,-126.23,-126.23,-102.2,-126.23,-126.23
1,38,-126.23,-126.23,-126.23,-101.72,-126.23,-126.23,-126.23,-126.23,-126.23,-102.05,-126.23,-126.23
1,39,-126.23,-126.23,-126.23,-101.56,-126.23,-126.23,-126.23,-126.23,-126.23,-101.89,-126.23,-126.23
1,40,-126.23,-126.23,-126.23,-101.4,-123.97,-126.23,-126.23,-126.23,-126.23,-101.73,-126.23,-126.23
1,41,-126.23,-126.23,-126.23,-126.23,-124.59,-126.23,-126.23,-126.23,-126.23,-101.57,-126.23,-126.23
1,42,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-126.23,-101.4,-126.23,-126.23
1,43,-126.23,-126.23,-126.23,-99.12,-126.23,-126.23,-126.23,-126.23,-126.23,-101.17,-126.23,-126.23
1,44,-126.23,-126.23,-126.23,-98.95,-126.23,-126.23,-126.23,-126.23,-126.23,-100.75,-126.23,-126.23
1,45,-126.23,-126.23,-126.23,-98.76,-126.23,-126.23,-126.23,-126.23,-126.23,-99.45,-126.23,-126.23
1,46,-126.23,-126.23,-126.23,-98.55,-126.23,-126.23,-126.23,-126.23,-126.23,-99.02,-126.23,-126.23
1,47,-126.23,-126.23,-126.23,-98.34,-126.23,-126.23,-126.23,-126.23,-126.23,-98.77,-126.23,-126.23
1,48,-126.23,-126.23,-126.23,-98.12,-126.23,-126.23,-126.23,-126.23,-126.23,-98.57,-126.23,-126.23
1,49,-126.23,-126.23,-126.23,-97.89,-126.23,-126.23,-126.23,-126.23,-126.23,-98.35,-126.23,-126.23
1,50,-126.23,-126.23,-126.23,-97.65,-126.23,-126.23,-126.23,-126.23,-126.23,-98.13,-126.23,-126.23
1,51,-126.23,-126.23,-126.23,-97.41,-126.23,-126.23,-126.23,-126.23,-126.23,-97.91,-126.23,-126.23
1,52,-126.23,-126.23,-126.23,-97.15,-126.23,-126.23,-126.23,-126.23,-126.23,-97.68,-126.23,-126.23
